First_image,Second_image,Answer
temporal_order_images/PIXK1S-2.png,temporal_order_images/PIXK1S-1.png,Second
temporal_order_images/PIX6L9-5.png,temporal_order_images/PIX6L9-6.png,First
temporal_order_images/PEXCJ5-1.png,temporal_order_images/PEXCJ5-2.png,First
temporal_order_images/PIXEVO-2.png,temporal_order_images/PIXEVO-1.png,Second
temporal_order_images/PEXIS9-3.png,temporal_order_images/PEXIS9-4.png,First
temporal_order_images/PEXFDP-2.png,temporal_order_images/PEXFDP-1.png,Second
temporal_order_images/PIXGS6-1.png,temporal_order_images/PIXGS6-2.png,First
temporal_order_images/PIXPTV-2.png,temporal_order_images/PIXPTV-1.png,Second
temporal_order_images/PIXH58-1.png,temporal_order_images/PIXH58-2.png,First
temporal_order_images/PEX35Q-3.png,temporal_order_images/PEX35Q-2.png,Second
temporal_order_images/PIXH9O-1.png,temporal_order_images/PIXH9O-2.png,First
temporal_order_images/PIXH9O-2.png,temporal_order_images/PIXH9O-1.png,Second
temporal_order_images/PEXOJA-1.png,temporal_order_images/PEXOJA-2.png,First
temporal_order_images/PEX3GI-4.png,temporal_order_images/PEX3GI-2.png,Second
temporal_order_images/PIX0XV-1.png,temporal_order_images/PIX0XV-2.png,First
temporal_order_images/PEXO7K-2.png,temporal_order_images/PEXO7K-1.png,Second
temporal_order_images/PIX7VB-2.png,temporal_order_images/PIX7VB-3.png,First
temporal_order_images/PIX7BD-2.png,temporal_order_images/PIX7BD-1.png,Second
temporal_order_images/PEXM6T-4.png,temporal_order_images/PEXM6T-5.png,First
temporal_order_images/PEXEHY-1.png,temporal_order_images/PEXEHY-2.png,First
temporal_order_images/PIX14T-1.png,temporal_order_images/PIX14T-3.png,First
temporal_order_images/PIXK1S-1.png,temporal_order_images/PIXK1S-2.png,First
temporal_order_images/PEXTBT-3.png,temporal_order_images/PEXTBT-4.png,First
temporal_order_images/PIX6VM-4.png,temporal_order_images/PIX6VM-3.png,Second
temporal_order_images/PIX2DH-3.png,temporal_order_images/PIX2DH-2.png,Second
temporal_order_images/PEXJQR-1.png,temporal_order_images/PEXJQR-2.png,First
temporal_order_images/PEX7J2-2.png,temporal_order_images/PEX7J2-3.png,First
temporal_order_images/PIXEHY-2.png,temporal_order_images/PIXEHY-1.png,Second
temporal_order_images/PIXK1S-3.png,temporal_order_images/PIXK1S-4.png,First
temporal_order_images/PEXPKR-1.png,temporal_order_images/PEXPKR-2.png,First
temporal_order_images/PIX1E7-3.png,temporal_order_images/PIX1E7-2.png,Second
temporal_order_images/PIXC9D-1.png,temporal_order_images/PIXC9D-2.png,First
temporal_order_images/PEX9R1-1.png,temporal_order_images/PEX9R1-2.png,First
temporal_order_images/PEX87I-1.png,temporal_order_images/PEX87I-2.png,First
temporal_order_images/PEXEXT-2.png,temporal_order_images/PEXEXT-3.png,First
temporal_order_images/PIX3IQ-1.png,temporal_order_images/PIX3IQ-2.png,First
temporal_order_images/PEXFDP-1.png,temporal_order_images/PEXFDP-2.png,First
temporal_order_images/PEX8KS-3.png,temporal_order_images/PEX8KS-2.png,Second
temporal_order_images/PIX377-2.png,temporal_order_images/PIX377-3.png,First
temporal_order_images/PIXNUR-1.png,temporal_order_images/PIXNUR-2.png,First
temporal_order_images/PEXFZM-1.png,temporal_order_images/PEXFZM-2.png,First
temporal_order_images/PEX7BD-2.png,temporal_order_images/PEX7BD-1.png,Second
temporal_order_images/PIXDGJ-2.png,temporal_order_images/PIXDGJ-3.png,First
temporal_order_images/PIX6VM-5.png,temporal_order_images/PIX6VM-6.png,First
temporal_order_images/PEXFEV-2.png,temporal_order_images/PEXFEV-1.png,Second
temporal_order_images/PEXQN8-1.png,temporal_order_images/PEXQN8-2.png,First
temporal_order_images/PEXJN0-2.png,temporal_order_images/PEXJN0-3.png,First
temporal_order_images/PIX9SP-2.png,temporal_order_images/PIX9SP-1.png,Second
